Index,AA,IUPAC Name,CAS Number,Smiles
1,Sec,(2R)-2-amino-3-selanylpropanoic acid,10236-58-5,N[C@@H](C[SeH])C(O)=O
2,Pyl,"N6-[[(2R,3R)-3-methyl-3,4-dihydro-2H-pyrrol-2-yl]carbonyl]-L-lysine",448235-52-7,C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@H](N)C(O)=O
3,Hyp3s,"(2S,3S)-3-hydroxypyrrolidine-2-carboxylic acid",4298-08-02,O[C@H]1CCN[C@@H]1C(O)=O
4,Hyp4r,"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",51-35-4,O[C@H]1CN[C@@H](C1)C(O)=O
5,pSer,(2S)-2-amino-3-phosphonooxypropanoic acid,407-41-0,N[C@@H](CO[P](O)(O)=O)C(O)=O
6,pThr,"(2S,3R)-2-amino-3-phosphonooxybutanoic acid",27530-80-9,C[C@@H](O[P](O)(O)=O)[C@H](N)C(O)=O
7,Orn,"(2S)-2,5-diaminopentanoic acid",70-26-8,NCCC[C@H](N)C(O)=O
8,Cit,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,372-75-8,N[C@@H](CCCNC(N)=O)C(O)=O
9,ArgSA,(2S)-2-[[N′-[(4S)-4-amino-4-carboxybutyl]carbamimidoyl]amino]butanedioic acid,2387-71-5,N[C@@H](CCCN=C(N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O
10,SAM,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate",29908-03-0,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23
11,SAH,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-sulfanyl]butanoate",979-92-0,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C([O-])=O
12,3SA,(2R)-2-amino-3-hydroxy-3-oxopropane-1-sulfinate,1115-65-7,N[C@@H](C[S]([O-])=O)C(O)=O
13,hCys/Hcy,(2S)-2-amino-4-sulfanylbutanoic acid,6027-13-0,N[C@@H](CCS)C(O)=O
14,Tau,2-aminoethanesulfonic acid,107-35-7,NCC[S](O)(=O)=O
15,Sar,2-(methylamino)acetic acid,107-97-1,CNCC(O)=O
16,2AA,2-aminobenzoic acid,118-92-3,Nc1ccccc1C(O)=O
17,Kyn,4-oxo-1H-quinoline-2-carboxylic acid,492-27-3,OC(=O)C1=CC(=O)c2ccccc2N1
18,Aad,(2S)-2-aminohexanedioic acid,1118-90-7,N[C@@H](CCCC(O)=O)C(O)=O
19,hSer,(2S)-2-amino-4-hydroxybutanoic acid,672-15-1,N[C@@H](CCO)C(O)=O
20,β-Ala,3-aminopropanoic acid,107-95-9,NCCC(O)=O
21,D-Ser,(2R)-2-amino-3-hydroxypropanoic acid,312-84-5,N[C@H](CO)C(O)=O
